Customer ID	Birth Date	Gender	Item Purchased	Category	Purchase Amount (USD)	Location	Size	Color	Season	Review Rating	Subscription Status	Payment Method	Shipping Type	Discount Applied	Promo Code Used	Previous Purchases	Preferred Payment Method	Frequency of Purchases
16	1960/03/07	Male	Skirt	Clothing	81	Rhode Island	M	Teal	Winter	2.8	Yes	Credit Card	Store Pickup	Yes	Yes	8	PayPal	Monthly
17	1999/05/23	Male	Sunglasses	Accessories	36	Alabama	S	Gray	Spring	4.1	Yes	Venmo	Next Day Air	Yes	Yes	44	Debit Card	Bi-Weekly
18	1971/05/08	Male	Dress	Clothing	38	Mississippi	XL	Lavender	Winter	4.7	Yes	Debit Card	2-Day Shipping	Yes	Yes	36	Venmo	Quarterly
19	1972/03/10	Male	Sweater	Clothing	48	Montana	S	Black	Summer	4.6	Yes	Bank Transfer	Free Shipping	Yes	Yes	17	Cash	Weekly
20	1958/09/08	Male	Pants	Clothing	90	Rhode Island	M	Green	Summer	3.3	Yes	Venmo	Standard	Yes	Yes	46	Debit Card	Bi-Weekly
21	2003/11/24	Male	Pants	Clothing	51	Louisiana	M	Black	Winter	2.8	Yes	Credit Card	Express	Yes	Yes	50	Cash	Every 3 Months
22	1993/11/17	Male	Pants	Clothing	62	North Carolina	M	Charcoal	Winter	4.1	Yes	Credit Card	Store Pickup	Yes	Yes	22	Debit Card	Quarterly
23	1968/11/09	Male	Pants	Clothing	37	California	M	Peach	Summer	3.2	Yes	Cash	Store Pickup	Yes	Yes	32	Debit Card	Annually
24	1993/08/15	Male	Pants	Clothing	88	Oklahoma	XL	White	Winter	4.4	Yes	Credit Card	Express	Yes	Yes	40	Credit Card	Weekly
25	2006/10/26	Male	Jacket	Outerwear	22	Florida	M	Green	Fall	2.9	Yes	Cash	Store Pickup	Yes	Yes	16	Debit Card	Weekly
26	2006/07/28	Male	Hoodie	Clothing	25	Texas	M	Silver	Summer	3.6	Yes	Bank Transfer	Express	Yes	Yes	14	PayPal	Annually
27	1986/05/29	Male	Jewelry	Accessories	20	Nevada	M	Red	Spring	3.6	Yes	Cash	Next Day Air	Yes	Yes	13	Credit Card	Annually
28	1968/04/28	Male	Shorts	Clothing	56	Kentucky	L	Cyan	Summer	5.0	Yes	Debit Card	Next Day Air	Yes	Yes	7	Bank Transfer	Every 3 Months
29	1970/07/16	Male	Handbag	Accessories	94	North Carolina	M	Gray	Fall	4.4	Yes	Debit Card	Free Shipping	Yes	Yes	41	PayPal	Every 3 Months
30	1993/08/17	Male	Dress	Clothing	48	Wyoming	S	Black	Fall	4.1	Yes	Venmo	Store Pickup	Yes	Yes	14	Credit Card	Weekly
31	1967/09/12	Male	Jewelry	Accessories	31	North Carolina	L	Black	Winter	4.7	Yes	Bank Transfer	Standard	Yes	Yes	16	Credit Card	Monthly
32	1991/08/21	Male	Dress	Clothing	79	West Virginia	L	Brown	Winter	4.7	Yes	Venmo	Store Pickup	Yes	Yes	45	Venmo	Monthly
33	1988/03/09	Male	Jacket	Outerwear	67	Kansas	M	Silver	Summer	4.9	Yes	Bank Transfer	Free Shipping	Yes	Yes	37	Venmo	Annually
34	1970/02/17	Male	Pants	Clothing	38	Colorado	L	Green	Summer	3.3	Yes	Venmo	Store Pickup	Yes	Yes	45	Cash	Quarterly
35	1988/11/14	Male	T-shirt	Clothing	91	North Dakota	L	Violet	Spring	4.6	Yes	Debit Card	2-Day Shipping	Yes	Yes	38	PayPal	Quarterly
36	1970/04/12	Male	Blouse	Clothing	33	Massachusetts	M	Cyan	Summer	4.0	Yes	Bank Transfer	2-Day Shipping	Yes	Yes	48	Credit Card	Bi-Weekly
37	1989/12/24	Male	T-shirt	Clothing	69	Illinois	M	Maroon	Winter	4.6	Yes	Cash	Free Shipping	Yes	Yes	44	PayPal	Fortnightly
38	1989/08/23	Male	Jeans	Clothing	45	Indiana	S	Cyan	Summer	2.8	Yes	Debit Card	Store Pickup	Yes	Yes	10	PayPal	Weekly
39	1995/10/30	Male	Dress	Clothing	37	Florida	M	Red	Winter	3.7	Yes	Debit Card	2-Day Shipping	Yes	Yes	44	Venmo	Every 3 Months
40	1954/08/18	Male	Pants	Clothing	60	Arizona	S	Turquoise	Summer	4.2	Yes	Bank Transfer	Express	Yes	Yes	18	Credit Card	Monthly
41	1955/11/05	Male	Handbag	Accessories	76	Louisiana	L	Beige	Winter	4.6	Yes	PayPal	Next Day Air	Yes	Yes	31	Debit Card	Quarterly
42	1957/03/11	Male	Scarf	Accessories	39	Alaska	M	Orange	Spring	4.5	Yes	Cash	Standard	Yes	Yes	40	Venmo	Annually
43	2004/04/19	Male	Coat	Outerwear	100	Tennessee	M	Beige	Spring	4.1	Yes	Bank Transfer	Free Shipping	Yes	Yes	15	PayPal	Annually
44	1999/08/31	Male	Scarf	Accessories	69	Ohio	L	Lavender	Fall	3.7	Yes	PayPal	Store Pickup	Yes	Yes	19	PayPal	Fortnightly
45	1985/03/17	Male	Hat	Accessories	53	Kentucky	S	Silver	Summer	4.6	Yes	Bank Transfer	Free Shipping	Yes	Yes	45	PayPal	Weekly
46	1974/06/08	Male	Socks	Clothing	21	Tennessee	XL	Indigo	Fall	2.9	Yes	Venmo	2-Day Shipping	Yes	Yes	25	PayPal	Annually
47	1967/05/20	Male	Shirt	Clothing	43	California	L	White	Summer	2.9	Yes	Venmo	Store Pickup	Yes	Yes	45	Cash	Quarterly
48	1969/11/27	Male	Jewelry	Accessories	54	Montana	M	Charcoal	Winter	4.5	Yes	Debit Card	Free Shipping	Yes	Yes	36	Cash	Weekly
49	1982/12/26	Male	Shirt	Clothing	55	Nevada	M	Orange	Summer	2.7	Yes	Debit Card	Store Pickup	Yes	Yes	38	Cash	Monthly
50	1956/05/27	Male	Hoodie	Clothing	30	New Jersey	S	Indigo	Spring	4.6	Yes	Bank Transfer	Next Day Air	Yes	Yes	34	Debit Card	Bi-Weekly
51	1975/03/07	Male	Blouse	Clothing	28	Maryland	M	Red	Spring	3.7	Yes	Cash	Store Pickup	Yes	Yes	39	Debit Card	Bi-Weekly
52	1965/01/04	Male	Skirt	Clothing	59	Vermont	XL	Gray	Winter	4.7	Yes	PayPal	2-Day Shipping	Yes	Yes	7	Credit Card	Quarterly
53	1982/04/30	Male	T-shirt	Clothing	20	Alaska	M	Green	Summer	2.6	Yes	Credit Card	Free Shipping	Yes	Yes	26	Credit Card	Weekly
54	1995/09/05	Male	Skirt	Clothing	24	Mississippi	S	Peach	Winter	3.9	Yes	Debit Card	Next Day Air	Yes	Yes	35	Credit Card	Weekly
55	1977/07/23	Male	Coat	Outerwear	94	New Mexico	M	Brown	Summer	4.2	Yes	Bank Transfer	Next Day Air	Yes	Yes	35	Debit Card	Bi-Weekly
56	1984/08/12	Male	Jacket	Outerwear	28	South Carolina	M	Lavender	Winter	3.0	Yes	Venmo	2-Day Shipping	Yes	Yes	49	Credit Card	Annually
57	1983/05/03	Male	Backpack	Accessories	73	Mississippi	XL	Brown	Summer	4.7	Yes	PayPal	Store Pickup	Yes	Yes	46	Credit Card	Weekly
58	2003/11/01	Male	Coat	Outerwear	64	West Virginia	M	White	Summer	4.4	Yes	PayPal	Store Pickup	Yes	Yes	17	Debit Card	Fortnightly
59	1955/06/11	Male	Hoodie	Clothing	54	Missouri	M	Charcoal	Summer	4.2	Yes	Credit Card	Free Shipping	Yes	Yes	29	Venmo	Monthly
60	1961/07/17	Male	Belt	Accessories	79	Louisiana	L	Yellow	Spring	4.6	Yes	Debit Card	Standard	Yes	Yes	4	Debit Card	Weekly
61	1974/09/03	Male	Sweater	Clothing	37	Idaho	L	Brown	Summer	4.0	Yes	Credit Card	Express	Yes	Yes	17	Cash	Weekly
62	1969/02/10	Male	Scarf	Accessories	68	Texas	M	Orange	Winter	4.7	Yes	Bank Transfer	Store Pickup	Yes	Yes	21	Credit Card	Every 3 Months
63	1994/07/02	Male	Sneakers	Footwear	21	Mississippi	S	Magenta	Spring	3.8	Yes	Credit Card	Free Shipping	Yes	Yes	31	Credit Card	Fortnightly
64	1991/08/25	Male	Sunglasses	Accessories	79	Arizona	L	Lavender	Winter	2.7	Yes	Credit Card	2-Day Shipping	Yes	Yes	43	Credit Card	Weekly
65	1959/08/20	Male	Boots	Footwear	83	Alabama	S	Green	Fall	4.8	Yes	PayPal	Standard	Yes	Yes	18	Debit Card	Fortnightly
66	1959/04/04	Male	Backpack	Accessories	36	New Jersey	M	Purple	Spring	4.8	Yes	Credit Card	2-Day Shipping	Yes	Yes	44	Venmo	Every 3 Months
67	1993/10/06	Male	Blouse	Clothing	94	Pennsylvania	S	Magenta	Winter	4.7	Yes	Bank Transfer	2-Day Shipping	Yes	Yes	3	Venmo	Every 3 Months
68	1979/11/08	Male	Coat	Outerwear	33	Connecticut	L	Gray	Winter	4.4	Yes	PayPal	Store Pickup	Yes	Yes	49	Debit Card	Monthly
69	1967/01/18	Male	Handbag	Accessories	46	Utah	L	Silver	Summer	3.9	Yes	Credit Card	Next Day Air	Yes	Yes	21	Cash	Every 3 Months
70	1976/10/08	Male	Belt	Accessories	70	Tennessee	S	Cyan	Summer	4.4	Yes	Credit Card	Express	Yes	Yes	5	Cash	Weekly
71	2002/02/22	Male	Belt	Accessories	29	Alabama	M	Magenta	Fall	4.2	Yes	Credit Card	Express	Yes	Yes	32	Debit Card	Every 3 Months
72	1988/02/27	Male	Dress	Clothing	48	Virginia	L	Gold	Summer	2.9	Yes	Debit Card	Express	Yes	Yes	34	Bank Transfer	Annually
73	2006/03/01	Male	Dress	Clothing	26	Georgia	M	Olive	Winter	2.9	Yes	Debit Card	Store Pickup	Yes	Yes	21	Bank Transfer	Every 3 Months
74	1976/02/05	Male	Pants	Clothing	85	Hawaii	M	Teal	Spring	2.7	Yes	Debit Card	Free Shipping	Yes	Yes	43	Bank Transfer	Bi-Weekly
75	1975/11/28	Male	Gloves	Accessories	58	Indiana	L	Violet	Spring	4.5	Yes	PayPal	Express	Yes	Yes	3	Cash	Monthly
76	1960/05/21	Male	Scarf	Accessories	85	Utah	M	Blue	Summer	2.7	Yes	Debit Card	Free Shipping	Yes	Yes	21	Credit Card	Annually
77	1974/02/28	Male	Hat	Accessories	43	Delaware	S	Teal	Summer	4.2	Yes	Bank Transfer	Free Shipping	Yes	Yes	32	Venmo	Monthly
78	2002/08/13	Male	Dress	Clothing	53	Delaware	L	Gold	Summer	3.3	Yes	Debit Card	Next Day Air	Yes	Yes	36	Debit Card	Fortnightly
79	1974/05/31	Male	Skirt	Clothing	91	Nebraska	M	Maroon	Spring	4.7	Yes	Venmo	Free Shipping	Yes	Yes	50	Venmo	Fortnightly
80	1986/06/23	Male	Jacket	Outerwear	96	Iowa	M	Olive	Winter	2.6	Yes	Bank Transfer	2-Day Shipping	Yes	Yes	43	Bank Transfer	Every 3 Months
81	2005/01/14	Male	Sandals	Footwear	72	New York	XL	Blue	Summer	3.3	Yes	Credit Card	Store Pickup	Yes	Yes	24	Credit Card	Every 3 Months
82	1957/09/10	Male	Shoes	Footwear	96	Virginia	L	Maroon	Summer	2.6	Yes	PayPal	Express	Yes	Yes	36	Credit Card	Every 3 Months
83	2005/10/30	Male	Pants	Clothing	28	Georgia	S	Olive	Spring	4.0	Yes	Bank Transfer	2-Day Shipping	Yes	Yes	21	Credit Card	Every 3 Months
84	1988/06/24	Male	Dress	Clothing	40	Texas	M	Turquoise	Summer	4.1	Yes	Debit Card	Standard	Yes	Yes	34	Bank Transfer	Weekly
85	1972/06/24	Male	Coat	Outerwear	32	Arizona	S	Peach	Spring	4.4	Yes	Cash	Standard	Yes	Yes	42	Bank Transfer	Every 3 Months
86	1971/04/30	Male	Sunglasses	Accessories	95	New Mexico	M	Charcoal	Winter	4.5	Yes	Credit Card	Next Day Air	Yes	Yes	2	Debit Card	Bi-Weekly
87	2000/02/19	Male	Hoodie	Clothing	41	Nevada	L	Pink	Spring	3.7	Yes	Venmo	2-Day Shipping	Yes	Yes	47	Cash	Bi-Weekly
88	1972/08/17	Male	Shoes	Footwear	53	Ohio	M	Green	Fall	3.7	Yes	Debit Card	2-Day Shipping	Yes	Yes	44	Debit Card	Fortnightly
89	1991/12/13	Male	T-shirt	Clothing	47	Wyoming	M	Orange	Fall	3.5	Yes	Credit Card	Free Shipping	Yes	Yes	35	Credit Card	Monthly
90	1977/07/21	Male	Jacket	Outerwear	83	California	XL	Pink	Fall	3.6	Yes	Bank Transfer	Next Day Air	Yes	Yes	15	Cash	Quarterly
91	1999/10/25	Male	Hat	Accessories	48	South Carolina	L	Violet	Summer	2.9	Yes	Venmo	Express	Yes	Yes	29	Credit Card	Monthly
92	1980/09/17	Male	Scarf	Accessories	99	South Carolina	S	Green	Winter	4.6	Yes	PayPal	Standard	Yes	Yes	18	Credit Card	Every 3 Months
93	1963/03/25	Male	Jacket	Outerwear	87	Texas	M	Olive	Winter	4.4	Yes	Cash	2-Day Shipping	Yes	Yes	13	Venmo	Every 3 Months
94	1987/03/26	Male	Sweater	Clothing	62	Florida	M	Purple	Fall	4.5	Yes	PayPal	Standard	Yes	Yes	46	Credit Card	Weekly
95	1966/07/16	Male	Skirt	Clothing	76	Nevada	S	Silver	Spring	4.6	Yes	Bank Transfer	Free Shipping	Yes	Yes	28	Credit Card	Weekly
96	1987/02/26	Male	Sneakers	Footwear	100	Missouri	L	Pink	Fall	3.8	Yes	PayPal	Free Shipping	Yes	Yes	48	PayPal	Monthly
97	1992/10/31	Male	Gloves	Accessories	73	Delaware	S	Gold	Spring	3.6	Yes	Venmo	Express	Yes	Yes	43	Venmo	Every 3 Months
98	2003/06/21	Male	Shoes	Footwear	92	Virginia	M	Teal	Winter	4.8	Yes	PayPal	Store Pickup	Yes	Yes	37	Cash	Annually
99	2004/10/07	Male	Jeans	Clothing	67	New York	XL	Teal	Spring	2.6	Yes	Cash	Next Day Air	Yes	Yes	20	Bank Transfer	Annually
100	1998/01/02	Male	Hoodie	Clothing	40	Missouri	XL	Indigo	Summer	3.7	Yes	Cash	Express	Yes	Yes	33	Debit Card	Quarterly
101	1962/07/20	Male	Sunglasses	Accessories	98	South Dakota	M	Maroon	Fall	2.7	Yes	PayPal	Express	Yes	Yes	31	Cash	Fortnightly
102	1997/02/19	Male	Coat	Outerwear	85	North Dakota	XL	White	Spring	4.6	Yes	Venmo	Express	Yes	Yes	50	Credit Card	Bi-Weekly
103	1973/09/19	Male	Socks	Clothing	67	Oklahoma	L	Violet	Winter	4.8	Yes	Credit Card	Next Day Air	Yes	Yes	35	Credit Card	Quarterly
104	1970/09/13	Male	Boots	Footwear	89	West Virginia	L	Red	Winter	4.0	Yes	Debit Card	Next Day Air	Yes	Yes	22	Venmo	Bi-Weekly
105	1969/09/24	Male	Sunglasses	Accessories	24	New Hampshire	L	Pink	Spring	4.4	Yes	Bank Transfer	2-Day Shipping	Yes	Yes	1	PayPal	Monthly
106	1955/01/28	Male	Backpack	Accessories	96	New York	M	Charcoal	Fall	3.6	Yes	Bank Transfer	Next Day Air	Yes	Yes	4	Bank Transfer	Annually
107	1960/11/03	Male	Jacket	Outerwear	35	Minnesota	L	White	Summer	3.7	Yes	Cash	Standard	Yes	Yes	31	Credit Card	Monthly
108	1996/12/24	Male	Sneakers	Footwear	67	Maryland	L	Olive	Winter	3.1	Yes	Cash	Next Day Air	Yes	Yes	46	PayPal	Fortnightly
109	1954/01/20	Male	Socks	Clothing	79	Montana	L	Purple	Spring	3.4	Yes	Bank Transfer	Next Day Air	Yes	Yes	32	Bank Transfer	Bi-Weekly
110	1966/10/10	Male	T-shirt	Clothing	85	Alabama	M	Violet	Spring	2.6	Yes	Cash	Next Day Air	Yes	Yes	43	Bank Transfer	Fortnightly
111	1968/09/24	Male	Backpack	Accessories	26	New York	M	Black	Summer	4.0	Yes	Bank Transfer	Standard	Yes	Yes	26	Venmo	Fortnightly
112	1998/05/02	Male	Belt	Accessories	75	Massachusetts	L	Purple	Summer	5.0	Yes	PayPal	Free Shipping	Yes	Yes	9	Credit Card	Annually
113	1987/05/31	Male	Gloves	Accessories	65	Florida	M	Red	Spring	4.3	Yes	Credit Card	Free Shipping	Yes	Yes	28	PayPal	Bi-Weekly
114	1980/08/05	Male	Hat	Accessories	54	New Jersey	L	Maroon	Winter	3.1	Yes	Debit Card	Next Day Air	Yes	Yes	20	PayPal	Quarterly
115	1954/08/21	Male	Coat	Outerwear	95	Massachusetts	S	Blue	Summer	3.7	Yes	Venmo	Store Pickup	Yes	Yes	9	Cash	Weekly
116	1971/08/30	Male	Skirt	Clothing	94	Wyoming	M	Gray	Spring	3.8	Yes	Cash	Standard	Yes	Yes	48	Debit Card	Every 3 Months
117	1969/11/07	Male	Shoes	Footwear	86	Virginia	S	Blue	Spring	3.4	Yes	PayPal	Free Shipping	Yes	Yes	12	Venmo	Annually
118	1974/04/16	Male	Sandals	Footwear	32	South Dakota	L	Yellow	Summer	4.6	Yes	Bank Transfer	Express	Yes	Yes	29	Cash	Fortnightly
119	1974/10/29	Male	Sweater	Clothing	45	Kentucky	L	Orange	Fall	4.8	Yes	Bank Transfer	2-Day Shipping	Yes	Yes	27	Cash	Bi-Weekly
120	1986/03/14	Male	Coat	Outerwear	76	Wyoming	M	Orange	Fall	4.3	Yes	Debit Card	Express	Yes	Yes	44	Cash	Annually
121	1960/04/24	Male	Hat	Accessories	84	West Virginia	L	Red	Summer	4.0	Yes	PayPal	Express	Yes	Yes	32	Bank Transfer	Annually
122	2005/10/17	Male	Shorts	Clothing	72	Virginia	M	Olive	Winter	4.2	Yes	Cash	Standard	Yes	Yes	11	Cash	Fortnightly
123	1984/06/06	Male	Backpack	Accessories	40	Washington	L	Brown	Spring	4.8	Yes	Credit Card	2-Day Shipping	Yes	Yes	44	Cash	Fortnightly
124	1967/03/05	Male	Sweater	Clothing	89	Louisiana	L	Brown	Fall	3.1	Yes	Debit Card	Free Shipping	Yes	Yes	46	Cash	Weekly
125	1980/05/13	Male	Sweater	Clothing	86	Nevada	M	Gray	Spring	3.1	Yes	PayPal	Next Day Air	Yes	Yes	50	PayPal	Annually
126	1975/01/21	Male	Shorts	Clothing	54	California	M	Indigo	Winter	3.6	Yes	Cash	Next Day Air	Yes	Yes	45	Venmo	Every 3 Months
127	1981/12/25	Male	Shorts	Clothing	36	Mississippi	L	Pink	Spring	3.9	Yes	Bank Transfer	Store Pickup	Yes	Yes	48	Cash	Every 3 Months
128	2000/10/25	Male	Sweater	Clothing	89	Mississippi	M	Gray	Winter	4.8	Yes	Venmo	Next Day Air	Yes	Yes	26	Credit Card	Weekly
129	2004/02/13	Male	Scarf	Accessories	32	California	M	Gold	Spring	4.7	Yes	Venmo	Standard	Yes	Yes	21	Credit Card	Fortnightly
130	2000/10/17	Male	Dress	Clothing	67	Pennsylvania	XL	Olive	Summer	4.2	Yes	Cash	2-Day Shipping	Yes	Yes	49	PayPal	Bi-Weekly
131	1980/04/20	Male	Scarf	Accessories	39	Kentucky	L	Violet	Fall	3.7	Yes	Credit Card	Next Day Air	Yes	Yes	13	PayPal	Fortnightly
132	1996/09/25	Male	Skirt	Clothing	29	Maine	L	Indigo	Summer	3.9	Yes	PayPal	Standard	Yes	Yes	46	Credit Card	Weekly
133	1994/11/13	Male	Backpack	Accessories	58	New Mexico	M	Orange	Fall	4.7	Yes	Bank Transfer	2-Day Shipping	Yes	Yes	42	PayPal	Weekly
134	1972/06/14	Male	Sweater	Clothing	65	Montana	M	Violet	Winter	2.5	Yes	Bank Transfer	Next Day Air	Yes	Yes	25	Venmo	Annually
135	1981/12/07	Male	Hat	Accessories	94	Texas	L	Gray	Fall	4.9	Yes	Credit Card	Store Pickup	Yes	Yes	25	Cash	Monthly
136	1981/07/19	Male	Sandals	Footwear	81	Kansas	M	Purple	Fall	4.1	Yes	PayPal	Express	Yes	Yes	12	PayPal	Quarterly
137	1985/08/30	Male	Blouse	Clothing	86	South Carolina	M	White	Winter	3.3	Yes	Credit Card	Free Shipping	Yes	Yes	4	Debit Card	Quarterly
138	1956/08/19	Male	Sneakers	Footwear	43	Colorado	M	Turquoise	Spring	4.7	Yes	Cash	Free Shipping	Yes	Yes	38	PayPal	Weekly
139	1956/03/03	Male	Skirt	Clothing	29	Georgia	M	Maroon	Winter	4.4	Yes	Cash	Store Pickup	Yes	Yes	42	Bank Transfer	Weekly
140	1975/05/27	Male	Coat	Outerwear	95	Florida	M	White	Fall	3.8	Yes	Debit Card	Store Pickup	Yes	Yes	30	Venmo	Annually
141	1961/07/03	Male	Shirt	Clothing	28	North Carolina	L	Yellow	Fall	3.9	Yes	Bank Transfer	2-Day Shipping	Yes	Yes	50	Credit Card	Weekly
142	1968/12/08	Male	Gloves	Accessories	46	Virginia	M	Turquoise	Fall	4.9	Yes	PayPal	Free Shipping	Yes	Yes	45	PayPal	Weekly
143	1987/05/16	Male	Jacket	Outerwear	58	Nebraska	L	Violet	Fall	3.1	Yes	PayPal	Free Shipping	Yes	Yes	33	Credit Card	Fortnightly
144	1994/03/17	Male	Coat	Outerwear	48	Missouri	M	Beige	Fall	2.7	Yes	Bank Transfer	Store Pickup	Yes	Yes	25	PayPal	Quarterly
145	2005/05/06	Male	Shoes	Footwear	43	New Jersey	M	Silver	Fall	3.2	Yes	Credit Card	Express	Yes	Yes	25	Cash	Monthly
146	2000/02/11	Male	Jewelry	Accessories	95	Missouri	M	Teal	Fall	4.5	Yes	Venmo	Standard	Yes	Yes	44	Debit Card	Quarterly
147	1972/10/05	Male	Skirt	Clothing	30	Colorado	S	Black	Fall	4.0	Yes	Debit Card	Standard	Yes	Yes	21	Venmo	Fortnightly
148	1961/08/25	Male	Shoes	Footwear	64	Idaho	M	Purple	Summer	3.5	Yes	Bank Transfer	2-Day Shipping	Yes	Yes	31	Bank Transfer	Fortnightly
149	1987/10/01	Male	Gloves	Accessories	90	Wyoming	M	Gray	Fall	2.6	Yes	PayPal	Store Pickup	Yes	Yes	47	Debit Card	Annually
150	1986/12/29	Male	Pants	Clothing	76	Delaware	M	White	Summer	3.2	Yes	Venmo	Free Shipping	Yes	Yes	14	PayPal	Monthly
151	1989/11/04	Male	Boots	Footwear	96	California	L	Cyan	Fall	4.9	Yes	Bank Transfer	Standard	Yes	Yes	17	Debit Card	Every 3 Months
152	1996/06/02	Male	Sunglasses	Accessories	47	North Dakota	L	Turquoise	Fall	4.5	Yes	Debit Card	Next Day Air	Yes	Yes	3	Venmo	Annually
153	1994/05/30	Male	Shirt	Clothing	85	South Carolina	S	Brown	Summer	4.3	Yes	PayPal	Express	Yes	Yes	42	Venmo	Annually
154	1955/04/26	Male	Hoodie	Clothing	55	North Carolina	M	Maroon	Winter	3.2	Yes	Debit Card	Standard	Yes	Yes	22	Debit Card	Annually
155	1983/02/11	Male	Dress	Clothing	98	Oklahoma	M	Charcoal	Fall	3.6	Yes	Debit Card	Next Day Air	Yes	Yes	21	Venmo	Quarterly
156	1961/09/28	Male	Socks	Clothing	77	Maine	S	Olive	Spring	4.3	Yes	Cash	Free Shipping	Yes	Yes	21	Bank Transfer	Quarterly
157	1989/08/09	Male	Shorts	Clothing	26	Missouri	M	Lavender	Fall	4.0	Yes	Venmo	Standard	Yes	Yes	40	Debit Card	Annually
158	1988/08/18	Male	Hat	Accessories	68	Vermont	S	Yellow	Fall	3.0	Yes	Debit Card	Next Day Air	Yes	Yes	1	Bank Transfer	Fortnightly
159	1999/02/20	Male	Shirt	Clothing	73	Connecticut	XL	Teal	Fall	4.1	Yes	Bank Transfer	Standard	Yes	Yes	50	Bank Transfer	Monthly
160	1966/08/28	Male	Gloves	Accessories	27	New Hampshire	M	Charcoal	Fall	3.8	Yes	Debit Card	Store Pickup	Yes	Yes	39	Bank Transfer	Every 3 Months
161	1997/10/11	Male	Gloves	Accessories	23	Texas	M	Orange	Summer	4.6	Yes	Bank Transfer	Free Shipping	Yes	Yes	34	Venmo	Monthly
162	1959/06/27	Male	Backpack	Accessories	49	North Dakota	M	Olive	Fall	3.0	Yes	Venmo	Express	Yes	Yes	29	Venmo	Fortnightly
163	1970/08/27	Male	Sunglasses	Accessories	74	California	M	Turquoise	Summer	3.0	Yes	Credit Card	Store Pickup	Yes	Yes	31	PayPal	Bi-Weekly
164	1970/03/10	Male	Skirt	Clothing	67	Virginia	M	Purple	Summer	3.4	Yes	PayPal	Standard	Yes	Yes	8	Debit Card	Weekly
165	1965/11/30	Male	Handbag	Accessories	65	Delaware	S	Purple	Spring	2.6	Yes	Debit Card	Free Shipping	Yes	Yes	5	Credit Card	Fortnightly
166	1982/03/30	Male	Handbag	Accessories	60	Kentucky	S	Yellow	Winter	2.8	Yes	Credit Card	Store Pickup	Yes	Yes	7	Cash	Monthly
167	1978/05/20	Male	Sneakers	Footwear	31	Delaware	XL	Indigo	Fall	4.0	Yes	Cash	Store Pickup	Yes	Yes	30	Cash	Monthly
168	1991/09/22	Male	Gloves	Accessories	27	Arkansas	M	Green	Fall	4.0	Yes	Venmo	Express	Yes	Yes	14	Credit Card	Every 3 Months
169	1990/10/03	Male	Shoes	Footwear	80	Louisiana	M	Magenta	Summer	3.0	Yes	Bank Transfer	Express	Yes	Yes	5	Cash	Fortnightly
